🐯更新时间🐯,#genre#
华语电影,http://zzy789.xyz/douyu1.php?id=3928
冰冰经典,http://zzy789.xyz/douyu1.php?id=74374
XXXX影院,http://zzy789.xyz/douyu1.php?id=508118
凌儿影院,http://zzy789.xyz/douyu1.php?id=1377142
恐怖惊悚,http://zzy789.xyz/douyu1.php?id=96577
电影剧场,http://zzy789.xyz/douyu1.php?id=7575350
漫威影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=6140589
高分电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=7254536
豆瓣高分,http://huanqiuzhibo.cn/manifest/douyu.php?id=8770422
特辑电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=3637778
粤语电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=1226741
国产电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=5423
精彩电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=9650887
喜剧电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=323876
恐怖电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=218859
恐怖鬼怪,http://huanqiuzhibo.cn/manifest/douyu.php?id=1165374
童年阴影,http://huanqiuzhibo.cn/manifest/douyu.php?id=2935323
惊悚电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=96577
华语影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=3928
神乐影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=85894
周末影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=3637765
周末电影,http://huanqiuzhibo.cn/manifest/douyu.php?id=3637726
兔子影厅,http://huanqiuzhibo.cn/manifest/douyu.php?id=8985415
冰冰影厅,http://huanqiuzhibo.cn/manifest/douyu.php?id=74374
刀刀影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=747764
奶虫影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=263824
贝爷壹厅,http://huanqiuzhibo.cn/manifest/douyu.php?id=252802
贝爷贰厅,http://huanqiuzhibo.cn/manifest/douyu.php?id=4332
贝爷叁厅,http://huanqiuzhibo.cn/manifest/douyu.php?id=36337
凌儿影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=1377142
云宝影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=7305938
花卷影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=52787
菜园小饼,http://huanqiuzhibo.cn/manifest/douyu.php?id=1735337
米娅影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=6537888
橙记港剧,http://huanqiuzhibo.cn/manifest/douyu.php?id=4549169
大宝影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=805235
蚂蚱影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=6079455
怡宝影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=434971
圆子影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=6566658
贝贝影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=431460
可乐影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=20415
萌牛影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=7494871
兔兔影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=1504768
无双影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=4870914
下饭神剧,http://huanqiuzhibo.cn/manifest/douyu.php?id=276200
古装神剧,http://huanqiuzhibo.cn/manifest/douyu.php?id=338759
晚湾影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=9461178
酒染影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=7550220
芊珏影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=8814650
热门港剧,http://huanqiuzhibo.cn/manifest/douyu.php?id=5522351
欢乐综艺,http://huanqiuzhibo.cn/manifest/douyu.php?id=131977
万合出品,http://huanqiuzhibo.cn/manifest/douyu.php?id=9220456
吃米滴虫,http://huanqiuzhibo.cn/manifest/douyu.php?id=315457
漫威主线1(🚀),http://epg.112114.eu.org/douyu/11673725
漫威主线2(🚀),http://epg.112114.eu.org/douyu/6140589
霍格沃茨(🚀),http://epg.112114.eu.org/douyu/8814650
豆瓣高分(🚀),http://epg.112114.eu.org/douyu/8770422
欧美大片(🚀),http://epg.112114.eu.org/douyu/2793084
华语经典1(🚀),http://epg.112114.eu.org/douyu/85894
华语经典2(🚀),http://epg.112114.eu.org/douyu/276200
欧美电影(🚀),http://epg.112114.eu.org/douyu/20415
科幻电影(🚀),http://epg.112114.eu.org/douyu/12010522
特辑电影(🚀),http://epg.112114.eu.org/douyu/3637778
蓉城电影(🚀),http://epg.112114.eu.org/douyu/11137425
HK港鬼片(🚀),http://epg.112114.eu.org/douyu/8009547
斗鱼1,http://epg.112114.xyz/douyu/4332
斗鱼2,http://epg.112114.xyz/douyu/6140589
斗鱼3,http://epg.112114.xyz/douyu/8770422
斗鱼4,http://epg.112114.xyz/douyu/747764
斗鱼5,http://epg.112114.xyz/douyu/52787
斗鱼6,http://epg.112114.xyz/douyu/36337
斗鱼7,http://epg.112114.xyz/douyu/8814650
斗鱼8,http://epg.112114.xyz/douyu/263824
斗鱼9,http://epg.112114.xyz/douyu/323876
斗鱼电影HD3,http://epg.112114.xyz/douyu/122402
贝爷欧美①厅,http://zzy789.xyz/douyu1.php?id=252802#http://159.75.85.63:35455/douyu/252802
贝爷欧美②厅,http://zzy789.xyz/douyu1.php?id=36337#http://159.75.85.63:35455/douyu/36337
贝爷欧美IMAX厅,http://zzy789.xyz/douyu1.php?id=4332#http://159.75.85.63:35455/douyu/4332


💓专享央视,#genre#
CCTV1,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv1
CCTV2,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv2
CCTV3,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv3
CCTV4,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv4
CCTV5,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv5
CCTV5+,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv5p
CCTV6,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv6
CCTV7,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv7
CCTV8,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv8
CCTV9,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv9
CCTV10,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv10
CCTV11,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv11
CCTV12,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv12
CCTV13,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv13
CCTV14,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv14
CCTV15,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv15
CCTV16,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv16
CCTV17,http://150.158.112.123/%E5%85%AC%E4%BC%97%E5%8F%B7~%E7%8E%89%E7%8E%89%E8%BD%AF%E4%BB%B6%E5%BA%93/mg.php?id=cctv17
CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV2,http://148.135.93.213:81/live.php?id=CCTV2
CCTV3,http://148.135.93.213:81/live.php?id=CCTV3
CCTV4,http://148.135.93.213:81/live.php?id=CCTV4
CCTV5,http://148.135.93.213:81/live.php?id=CCTV5
CCTV5+,http://148.135.93.213:81/live.php?id=CCTV5p
CCTV6,http://148.135.93.213:81/live.php?id=CCTV6
CCTV7,http://148.135.93.213:81/live.php?id=CCTV7
CCTV8,http://148.135.93.213:81/live.php?id=CCTV8
CCTV9,http://148.135.93.213:81/live.php?id=CCTV9
CCTV10,http://148.135.93.213:81/live.php?id=CCTV10
CCTV11,http://148.135.93.213:81/live.php?id=CCTV11
CCTV12,http://148.135.93.213:81/live.php?id=CCTV12
CCTV13,http://148.135.93.213:81/live.php?id=CCTV13
CCTV14,http://148.135.93.213:81/live.php?id=CCTV14
CCTV15,http://148.135.93.213:81/live.php?id=CCTV15
CCTV16,http://148.135.93.213:81/live.php?id=CCTV16
CCTV17,http://148.135.93.213:81/live.php?id=CCTV17
CCTV1,http://dsm.huarunguoji.top:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV2,http://dsm.huarunguoji.top:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV3,http://dsm.huarunguoji.top:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV4,http://dsm.huarunguoji.top:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV5,http://dsm.huarunguoji.top:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5+,http://dsm.huarunguoji.top:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV7,http://dsm.huarunguoji.top:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV8,http://dsm.huarunguoji.top:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV9,http://dsm.huarunguoji.top:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV10,http://dsm.huarunguoji.top:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV11,http://dsm.huarunguoji.top:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV12,http://dsm.huarunguoji.top:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV14,http://dsm.huarunguoji.top:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV15,http://dsm.huarunguoji.top:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV16,http://dsm.huarunguoji.top:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV17,http://dsm.huarunguoji.top:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CCTV1,http://iptv.0564.org:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV2,http://iptv.0564.org:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV3,http://iptv.0564.org:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV4,http://iptv.0564.org:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV5,http://iptv.0564.org:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5+,http://iptv.0564.org:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV6,http://iptv.0564.org:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV7,http://iptv.0564.org:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV8,http://iptv.0564.org:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV9,http://iptv.0564.org:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV10,http://iptv.0564.org:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV11,http://iptv.0564.org:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV12,http://iptv.0564.org:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV14,http://iptv.0564.org:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV15,http://iptv.0564.org:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV16,http://iptv.0564.org:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV17,http://iptv.0564.org:35455/itv/1000000005000265015.m3u8?cdn=ystenlive
CCTV1,http://60.12.183.46:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://60.12.183.46:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://60.12.183.46:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://60.12.183.46:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://60.12.183.46:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://60.12.183.46:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://60.12.183.46:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://60.12.183.46:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://60.12.183.46:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://60.12.183.46:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://60.12.183.46:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://60.12.183.46:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://60.12.183.46:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://60.12.183.46:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://60.12.183.46:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476879.m3u8
CCTV2,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476881.m3u8
CCTV3,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476882.m3u8
CCTV4,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476884.m3u8
CCTV5,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476886.m3u8
CCTV5+,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476889.m3u8
CCTV6,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476890.m3u8
CCTV7,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476891.m3u8
CCTV8,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476892.m3u8
CCTV9,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476893.m3u8
CCTV10,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476895.m3u8
CCTV11,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476897.m3u8
CCTV12,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476898.m3u8
CCTV13,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476899.m3u8
CCTV14,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476900.m3u8
CCTV15,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476901.m3u8
CCTV16,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476902.m3u8
CCTV1,http://110.42.45.89:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV2,http://110.42.45.89:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV3,http://110.42.45.89:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV4,http://110.42.45.89:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV5,http://110.42.45.89:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5+,http://110.42.45.89:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV6,http://110.42.45.89:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV7,http://110.42.45.89:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV8,http://110.42.45.89:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV9,http://110.42.45.89:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV10,http://110.42.45.89:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV11,http://110.42.45.89:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
